team_id,team_name,team_code
43,Manchester City,MCI
56,Sunderland,SUN
6,Tottenham Hotspur,TOT
14,Liverpool,LIV
17,Nottingham Forest,NFO
3,Arsenal,ARS
2,Leeds United,LEE
36,Brighton and Hove Albion,BHA
54,Fulham,FUL
7,Aston Villa,AVL
8,Chelsea,CHE
31,Crystal Palace,CRY
4,Newcastle United,NEW
11,Everton,EVE
1,Manchester United,MUN
91,Bournemouth,BOU
94,Brentford,BRE
90,Burnley,BUR
21,West Ham United,WHU
39,Wolverhampton Wanderers,WOL
