round,team_id,home_rk,home_gp,home_w,home_d,home_l,home_gf,home_ga,home_p
8,17,18,4,1,0,3,3,8,3
8,21,20,4,0,0,4,2,12,0
8,39,19,4,0,1,3,4,11,1
9,3,1,5,4,1,0,12,1,13
9,91,2,5,4,1,0,8,2,13
9,6,17,4,1,1,2,5,4,4
9,56,4,4,3,1,0,8,2,10
9,43,7,4,3,0,1,10,3,9
9,1,3,5,4,0,1,11,6,12
9,14,8,4,3,0,1,8,5,9
9,7,6,5,3,1,1,6,5,10
9,8,15,5,2,1,2,6,6,7
9,31,16,4,1,3,0,6,5,6
9,94,5,5,3,1,1,9,6,10
9,4,9,5,3,0,2,8,6,9
9,36,10,4,2,2,0,7,5,8
9,11,12,5,2,2,1,5,5,8
9,2,11,5,2,2,1,6,5,8
9,90,13,4,2,1,1,5,2,7
9,54,14,4,2,1,1,5,3,7
9,17,18,4,1,0,3,3,8,3
9,21,20,4,0,0,4,2,12,0
9,39,19,5,0,1,4,6,14,1
10,3,1,5,4,1,0,12,1,13
10,43,3,5,4,0,1,13,4,12
10,14,5,5,4,0,1,10,5,12
10,56,6,5,3,2,0,9,3,11
10,91,2,5,4,1,0,8,2,13
10,6,17,5,1,1,3,5,5,4
10,8,16,5,2,1,2,6,6,7
10,1,4,5,4,0,1,11,6,12
10,31,11,5,2,3,0,8,5,9
10,36,7,5,3,2,0,10,5,11
10,7,10,5,3,1,1,6,5,10
10,94,9,5,3,1,1,9,6,10
10,4,12,5,3,0,2,8,6,9
10,11,14,5,2,2,1,5,5,8
10,54,8,5,3,1,1,8,3,10
10,2,13,5,2,2,1,6,5,8
10,90,15,5,2,1,2,5,4,7
10,21,19,5,1,0,4,5,13,3
10,17,18,5,1,1,3,5,10,4
10,39,20,5,0,1,4,6,14,1
11,3,2,5,4,1,0,12,1,13
11,43,1,6,5,0,1,16,4,15
11,8,12,6,3,1,2,9,6,10
11,56,6,6,3,3,0,11,5,12
11,6,19,6,1,2,3,7,7,5
11,7,5,6,4,1,1,10,5,13
11,1,7,5,4,0,1,11,6,12
11,14,8,5,4,0,1,10,5,12
11,91,3,5,4,1,0,8,2,13
11,31,13,6,2,4,0,8,5,10
11,36,9,5,3,2,0,10,5,11
11,94,4,6,4,1,1,12,7,13
11,11,10,6,3,2,1,7,5,11
11,4,14,5,3,0,2,8,6,9
11,54,11,5,3,1,1,8,3,10
11,2,15,5,2,2,1,6,5,8
11,90,16,5,2,1,2,5,4,7
11,21,18,6,2,0,4,8,15,6
11,17,17,6,2,1,3,8,11,7
11,39,20,5,0,1,4,6,14,1
12,3,1,6,5,1,0,16,2,16
12,8,13,6,3,1,2,9,6,10
12,43,2,6,5,0,1,16,4,15
12,7,7,6,4,1,1,10,5,13
12,31,14,6,2,4,0,8,5,10
12,36,3,6,4,2,0,12,6,14
12,56,8,6,3,3,0,11,5,12
12,91,4,6,4,2,0,10,4,14
12,6,19,6,1,2,3,7,7,5
12,1,9,6,4,0,2,11,7,12
12,11,12,6,3,2,1,7,5,11
12,14,11,6,4,0,2,10,8,12
12,94,6,6,4,1,1,12,7,13
12,4,10,6,4,0,2,10,7,12
12,54,5,6,4,1,1,9,3,13
12,17,17,6,2,1,3,8,11,7
12,21,18,6,2,0,4,8,15,6
12,2,15,6,2,2,2,7,7,8
12,90,16,6,2,1,3,5,6,7
12,39,20,6,0,1,5,6,16,1
13,3,2,6,5,1,0,16,2,16
13,43,1,7,6,0,1,19,6,18
13,8,12,7,3,2,2,10,7,11
13,7,4,7,5,1,1,11,5,16
13,36,6,6,4,2,0,12,6,14
13,56,5,7,4,3,0,14,7,15
13,1,9,6,4,0,2,11,7,12
13,14,11,6,4,0,2,10,8,12
13,31,14,7,2,4,1,9,7,10
13,94,3,7,5,1,1,15,8,16
13,91,7,6,4,2,0,10,4,14
13,6,19,7,1,2,4,8,9,5
13,4,10,6,4,0,2,10,7,12
13,11,13,7,3,2,2,8,9,11
13,54,8,6,4,1,1,9,3,13
13,17,17,7,2,1,4,8,13,7
13,21,18,7,2,0,5,8,17,6
13,2,15,6,2,2,2,7,7,8
13,90,16,6,2,1,3,5,6,7
13,39,20,6,0,1,5,6,16,1
14,3,1,7,6,1,0,18,2,19
14,43,2,7,6,0,1,19,6,18
14,7,4,7,5,1,1,11,5,16
14,8,12,7,3,2,2,10,7,11
14,31,15,7,2,4,1,9,7,10
14,56,5,7,4,3,0,14,7,15
14,36,6,7,4,2,1,15,10,14
14,1,9,7,4,1,2,12,8,13
14,14,11,7,4,1,2,11,9,13
14,11,14,7,3,2,2,8,9,11
14,6,19,7,1,2,4,8,9,5
14,4,10,7,4,1,2,12,9,13
14,94,3,7,5,1,1,15,8,16
14,91,7,7,4,2,1,10,5,14
14,54,8,7,4,1,2,13,8,13
14,17,17,7,2,1,4,8,13,7
14,2,13,7,3,2,2,10,8,11
14,21,18,7,2,0,5,8,17,6
14,90,16,7,2,1,4,5,7,7
14,39,20,7,0,1,6,6,17,1
15,3,2,7,6,1,0,18,2,19
15,43,1,8,7,0,1,22,6,21
15,7,3,8,6,1,1,13,6,19
15,31,15,7,2,4,1,9,7,10
15,8,14,7,3,2,2,10,7,11
15,1,11,7,4,1,2,12,8,13
15,11,9,8,4,2,2,11,9,14
15,36,7,8,4,3,1,16,11,15
15,56,6,7,4,3,0,14,7,15
